example_id                                                           | status | run_time        |
./spec/cli/yardoc_spec.rb[1:9:10]                                    | passed | 0.01221 seconds |
./spec/cli/yardoc_spec.rb[1:10:1]                                    | passed | 0.00608 seconds |
./spec/cli/yardoc_spec.rb[1:11:1]                                    | passed | 0.00592 seconds |
./spec/cli/yardoc_spec.rb[1:11:2]                                    | passed | 0.00788 seconds |
./spec/cli/yardoc_spec.rb[1:11:3]                                    | passed | 0.00648 seconds |
./spec/cli/yardoc_spec.rb[1:11:4]                                    | passed | 0.00836 seconds |
./spec/cli/yardoc_spec.rb[1:11:5]                                    | passed | 0.00659 seconds |
./spec/cli/yardoc_spec.rb[1:11:6]                                    | passed | 0.00792 seconds |
./spec/cli/yardoc_spec.rb[1:11:7]                                    | passed | 0.00669 seconds |
./spec/cli/yardoc_spec.rb[1:11:8]                                    | passed | 0.00647 seconds |
./spec/cli/yardoc_spec.rb[1:11:9]                                    | passed | 0.00792 seconds |
./spec/cli/yardoc_spec.rb[1:11:10]                                   | passed | 0.0066 seconds  |
./spec/cli/yardoc_spec.rb[1:11:11]                                   | passed | 0.00732 seconds |
./spec/cli/yardoc_spec.rb[1:12:1]                                    | passed | 0.01146 seconds |
./spec/cli/yardoc_spec.rb[1:12:2]                                    | passed | 0.00751 seconds |
./spec/cli/yardoc_spec.rb[1:12:3]                                    | passed | 0.01251 seconds |
./spec/cli/yardoc_spec.rb[1:13:1]                                    | passed | 0.01355 seconds |
./spec/cli/yardoc_spec.rb[1:13:2]                                    | passed | 0.00725 seconds |
./spec/cli/yardoc_spec.rb[1:13:3]                                    | passed | 0.0097 seconds  |
./spec/cli/yardoc_spec.rb[1:13:4]                                    | passed | 0.00829 seconds |
./spec/cli/yardoc_spec.rb[1:13:5]                                    | passed | 0.00925 seconds |
./spec/cli/yardoc_spec.rb[1:14:1]                                    | passed | 0.00088 seconds |
./spec/cli/yardoc_spec.rb[1:14:2]                                    | passed | 0.00124 seconds |
./spec/cli/yardoc_spec.rb[1:14:3]                                    | passed | 0.00097 seconds |
./spec/cli/yardoc_spec.rb[1:14:4]                                    | passed | 0.00674 seconds |
./spec/cli/yardoc_spec.rb[1:14:5]                                    | passed | 0.00799 seconds |
./spec/cli/yardoc_spec.rb[1:14:6:1]                                  | passed | 0.01517 seconds |
./spec/cli/yardoc_spec.rb[1:14:6:2]                                  | passed | 0.00634 seconds |
./spec/cli/yri_spec.rb[1:1:1]                                        | passed | 0.01253 seconds |
./spec/cli/yri_spec.rb[1:1:2]                                        | passed | 0.00602 seconds |
